rad_scale,transport_scale,storage_scale,mode,manageable_failure,manageable_throughput_failure,manageable_CVaR95,manageable_unsafe,manageable_Y,manageable_Tc95,frontier_failure,frontier_CVaR95,frontier_unsafe,frontier_Y,frontier_Tc95,harsh_failure,harsh_CVaR95,harsh_unsafe,harsh_Y,harsh_Tc95
1.0,2.0,1.0,a10_hybrid,1.0,1.0,65.12232371226621,0.9566964285714287,0.6952135788277489,2.88212350531765,1.0,110.18296697923665,0.9608333333333333,0.669018541919654,3.73511332227012,1.0,176.32163272776913,0.9658333333333333,0.6307297230894113,4.524975494163844
1.0,2.0,1.0,a10_hybrid_v2,1.0,0.10714285714285714,61.73681201330207,0.9549702380952381,0.8371474219087468,2.7525421839914292,1.0,99.24616945399144,0.9620833333333333,0.8156151559438694,3.544660740681991,1.0,155.4204307367733,0.965,0.7901868026784797,4.239702051962123
1.0,2.0,1.0,no_control,1.0,0.0,1457.6627403818932,0.9726190476190476,1.0000000000000162,8.997748937426937,1.0,2191.2141207296004,0.9754166666666666,1.0000000000000162,10.668490136994915,1.0,2680.5889888159813,0.9766666666666667,1.0000000000000162,11.968637322256136
1.0,2.0,1.0,pump_radiator,1.0,0.0,203.43293713687768,0.9615476190476191,1.0000000000000162,3.8341029461992493,1.0,373.30967026269695,0.9679166666666668,1.0000000000000162,5.228032858778455,1.0,668.6765391288473,0.973125,1.0000000000000162,6.7486226935183184
1.0,2.0,2.0,a10_hybrid,1.0,1.0,38.095316897134886,0.9536011904761905,0.6548587945394246,2.452881278650683,1.0,74.21229630656214,0.9620833333333334,0.6015087971661368,3.311827461638818,1.0,179.01237655271402,0.9675,0.5682168903997401,4.299757494106684
1.0,2.0,2.0,a10_hybrid_v2,1.0,0.39285714285714285,45.33824461179679,0.9539880952380952,0.8009237393069407,2.535870192456449,1.0,91.70161029571864,0.9535416666666667,0.7804078744042512,3.4103064855183596,1.0,138.3501996256744,0.9658333333333333,0.7530820811329579,3.9683356814852506
1.0,2.0,2.0,no_control,1.0,0.0,1580.554606332131,0.972857142857143,1.0000000000000162,9.252601314393933,1.0,2033.2772157077545,0.9739583333333334,1.0000000000000162,10.227910168715995,1.0,3404.545779468313,0.9770833333333334,1.0000000000000162,13.251425009028864
1.0,2.0,2.0,pump_radiator,1.0,0.0,227.08519940717648,0.9622023809523809,1.0000000000000162,3.96953815534184,1.0,429.61771201737497,0.9708333333333333,1.0000000000000162,5.516940557746856,1.0,726.4991855940447,0.974375,1.0000000000000162,6.9297075805757835
1.0,2.0,4.0,a10_hybrid,1.0,1.0,25.914052778514296,0.9480952380952381,0.6096128545675862,2.170492308569937,1.0,66.3244634432044,0.9622916666666667,0.5717511002883358,3.152633587708325,1.0,111.89089739091948,0.9645833333333333,0.5389324553359696,3.7199190554849673
1.0,2.0,4.0,a10_hybrid_v2,1.0,1.0,35.76116226893377,0.9472916666666666,0.7676454025109882,2.3880798006443116,1.0,66.13590081860025,0.9585416666666666,0.753829641457547,3.16008085962893,1.0,143.20527448441388,0.9664583333333333,0.7319974303732661,4.005990686349663
1.0,2.0,4.0,no_control,1.0,0.0,1282.661705054476,0.9718154761904761,1.0000000000000162,8.50643300231767,1.0,2530.4082338786297,0.9760416666666667,1.0000000000000162,11.388810852151128,1.0,3372.0373865905203,0.9770833333333334,1.0000000000000162,13.174092484647026
1.0,2.0,4.0,pump_radiator,1.0,0.0,185.80345673405262,0.9608035714285714,1.0000000000000162,3.721678094578846,1.0,339.4524984006884,0.9645833333333333,1.0000000000000162,5.044857493332353,1.0,508.15817632763446,0.9714583333333334,1.0000000000000162,6.154108427906183
1.0,4.0,1.0,a10_hybrid,1.0,1.0,18.648131333236506,0.9329166666666666,0.7563317471686343,1.945578738224786,1.0,26.703060511383377,0.9383333333333334,0.7361596538065098,2.4305197613748613,1.0,61.30760548759779,0.9485416666666666,0.6885801409913348,3.035746460167698
1.0,4.0,1.0,a10_hybrid_v2,1.0,0.0,20.67863163279632,0.9348511904761904,0.8655384323917689,1.964326819957665,1.0,38.98153603366391,0.93875,0.8579175087458233,2.483857196069787,1.0,63.39539662474659,0.9497916666666667,0.8305720439853238,3.076632231727579
1.0,4.0,1.0,no_control,1.0,0.0,498.93999241061266,0.9701785714285716,1.0000000000000162,5.712175799002389,1.0,736.8664706846623,0.9710416666666667,1.0000000000000162,7.208692915553769,1.0,1238.6784829515616,0.9758333333333333,1.0000000000000162,9.194042018638154
1.0,4.0,1.0,pump_radiator,1.0,0.0,77.81185080065238,0.9502678571428572,1.0000000000000162,2.731115052868886,1.0,128.8955410922168,0.9579166666666666,1.0000000000000162,3.6260415453575225,1.0,174.99980900530934,0.9604166666666667,1.0000000000000162,4.0928075215988455
1.0,4.0,2.0,a10_hybrid,1.0,1.0,11.219234469625665,0.9189583333333333,0.6904701691429749,1.7543117215184603,1.0,22.4621085163186,0.9360416666666667,0.6625925865289743,2.166453822430525,1.0,51.44565805187642,0.9502083333333333,0.6206175998847792,2.810926096113598
1.0,4.0,2.0,a10_hybrid_v2,1.0,0.14285714285714285,16.032465574780783,0.9288988095238094,0.825182332121701,1.8366090378354776,1.0,30.953769246271765,0.93875,0.8069599512705408,2.3481746252603277,1.0,60.66659258956185,0.953125,0.7743199644914168,2.926336244038923
