rad_scale,transport_scale,storage_scale,mode,stress,n,failure_rate,throughput_failure_rate,mean_V,median_V,CVaR90_V,CVaR95_V,mean_unsafe_fraction,mean_Y_final,max_Tc_p95,min_Es_p05,min_Pm_p05
1.0,1.0,1.0,a10_hybrid,burst_heat,8,1.0,1.0,250.61991485490637,249.0985317527487,327.63984397652837,327.63984397652837,0.9652083333333334,0.658880426162546,5.56012374830439,0.23383932352013354,0.84
1.0,1.0,1.0,a10_hybrid,combined_harsh,8,1.0,1.0,433.29136654600205,442.09306979325623,527.7484959849561,527.7484959849561,0.9730208333333333,0.6052785445818119,6.5165940914896066,0.19454913533392726,0.5665851226052329
1.0,1.0,1.0,a10_hybrid,combined_moderate,8,1.0,1.0,316.5313561814578,279.6050308827214,414.3971190776342,414.3971190776342,0.9720833333333334,0.6324865853180359,5.706112728458891,0.20594679099654462,0.72
1.0,1.0,1.0,a10_hybrid,eclipse_transition,8,1.0,1.0,141.17352490260674,135.04833507877072,180.89238356326413,180.89238356326413,0.9674999999999999,0.6704459275782844,3.775100369711474,0.2656357735569641,0.84
1.0,1.0,1.0,a10_hybrid,nominal,8,1.0,1.0,132.55855328801903,123.7937775767861,177.67818021998622,177.67818021998622,0.9668749999999999,0.6724778529069125,3.71653436270405,0.2623928447494372,0.84
1.0,1.0,1.0,a10_hybrid,power_shortage,8,1.0,1.0,157.34393230827675,157.72523592203402,210.74706037990688,210.74706037990688,0.9693749999999999,0.6674230383094948,3.9001729997341035,0.25807862914295926,0.7812452443176496
1.0,1.0,1.0,a10_hybrid,radiator_degradation,8,1.0,1.0,138.44460505928015,137.36153354019868,169.27877366214605,169.27877366214605,0.9659375,0.6718810183676263,3.7166248344626442,0.2611647955996243,0.84
1.0,1.0,1.0,a10_hybrid,solar_heating,8,1.0,1.0,153.79137552601745,146.64277125219348,206.01419960648118,206.01419960648118,0.96875,0.6692985699953393,3.8814364257353517,0.2550176156677139,0.84
1.0,1.0,1.0,a10_hybrid,storage_saturation,8,1.0,1.0,200.72551359287823,204.6050670304569,239.43813010096198,239.43813010096198,0.9665625,0.6001243153334247,4.851691203354929,0.2016014359967254,0.84
1.0,1.0,1.0,load_throttle,burst_heat,8,1.0,1.0,1414.0126292275645,1311.413475557066,1920.5901302495217,1920.5901302495217,0.9714583333333333,0.5603427523008719,9.959428919855421,0.86,0.84
