condition,stress_family,mode,n,finite_rate,failure_rate,throughput_failure_rate,mean_V,median_V,CVaR90_V,CVaR95_V,mean_unsafe_fraction,mean_Y_final,max_Tc_p95,max_Tp_p95,max_Tr_p95,min_Es_p05,min_Pm_p05,fail_Tc_rate,fail_Tp_rate,fail_Tr_rate,fail_Es_rate,fail_Pm_rate,fail_G_rate,fail_Y_rate
actuator_0p6,frontier,a10_full,32,1.0,1.0,0.0,0.09665632565533341,0.05985827713661255,0.31827484277631535,0.35748402141326885,0.19760416666666664,0.894239543794408,1.298764500839146,1.0360056801571431,0.7270736325457752,0.24358511182667486,0.72,1.0,0.5625,0.0,0.0,0.0,0.0,0.0
actuator_0p6,frontier,a10_predictive,32,1.0,1.0,0.0,0.09381113109751546,0.06782543164691401,0.22048051645310707,0.2558932462508591,0.20322916666666668,0.8926794261158144,1.2493975141220262,1.0046832853982326,0.7353312598822606,0.25062393906177705,0.72,1.0,0.6875,0.0,0.0,0.0,0.0,0.0
actuator_0p6,frontier,a10_robust_v3,32,1.0,0.96875,0.0,0.058095394759285185,0.03753823436842745,0.1744467045314355,0.1990368492462602,0.17044270833333333,0.8685124138263866,1.227237044080675,0.9917214438323746,0.717728488809558,0.2583807479792443,0.72,0.96875,0.46875,0.0,0.0,0.0,0.0,0.0
actuator_0p6,frontier,pump_radiator,32,1.0,1.0,0.0,1.744467058513178,1.6168410089311802,3.275082281167529,3.5935255458636335,0.9043489583333333,1.0000000000000162,1.6807982591874968,1.375025632649251,0.746117931284483,0.72,0.72,1.0,1.0,0.0,0.0,0.0,0.0,0.0
actuator_0p6,harsh,a10_full,32,1.0,1.0,0.0,0.6538820713542242,0.6110938380691884,1.1504475559546936,1.2139488110625192,0.42919270833333334,0.846591887917397,1.4700520443246825,1.173580231612753,0.8221992905912299,0.20832579310538268,0.65,1.0,1.0,0.0,0.0,0.0,0.0,0.0
actuator_0p6,harsh,a10_predictive,32,1.0,1.0,0.0,0.6117357045524106,0.5893413087961079,1.2039923244756454,1.555327938752554,0.4145052083333333,0.8484339208045935,1.4475944187633958,1.150408091576232,0.8116440489078858,0.21242265487908887,0.65,1.0,1.0,0.0,0.0,0.0,0.0,0.0
actuator_0p6,harsh,a10_robust_v3,32,1.0,1.0,0.0,0.4804926536982861,0.4271252531157335,0.9802394257441207,1.013947099584406,0.3765364583333333,0.8239134985809955,1.4543207826503806,1.1555171739578594,0.8109108973269402,0.21190584693370518,0.65,1.0,1.0,0.0,0.0,0.0,0.0,0.0
actuator_0p6,harsh,pump_radiator,32,1.0,1.0,0.0,5.237879225821359,5.117717228067681,9.303809442575371,9.987166100842453,0.93203125,1.0000000000000162,2.0097533541603165,1.6357897408371331,0.8543927329652804,0.62,0.65,1.0,1.0,0.0,0.0,0.0,0.0625,0.0
actuator_0p6,manageable,a10_full,224,1.0,0.2767857142857143,0.0,0.016214973724575175,0.0,0.11844089347075293,0.15451567078941064,0.04296875,0.9249342699045037,1.1843826694158566,0.9483293474934098,0.663257365394661,0.2544372716337197,0.84,0.2767857142857143,0.08928571428571429,0.0,0.0,0.0,0.0,0.0
actuator_0p6,manageable,a10_predictive,224,1.0,0.28125,0.0,0.018971772960165518,0.0,0.13421622190151383,0.18035686475564375,0.04435639880952381,0.925228307961185,1.193077098978098,0.9505636166599941,0.6661768746769954,0.24604370347160343,0.84,0.28125,0.11160714285714286,0.0,0.0,0.0,0.0,0.0
