condition,stress_family,mode,n,finite_rate,failure_rate,throughput_failure_rate,mean_V,median_V,CVaR90_V,CVaR95_V,mean_unsafe_fraction,mean_Y_final,max_Tc_p95,max_Tp_p95,max_Tr_p95,min_Es_p05,min_Pm_p05,fail_Tc_rate,fail_Tp_rate,fail_Tr_rate,fail_Es_rate,fail_Pm_rate,fail_G_rate,fail_Y_rate
actuator_0p6,frontier,a10_v4_safe,32,1.0,0.875,0.84375,0.0153015333955201,0.008141338367339,0.061988430180279,0.0918113796744456,0.1211458333333333,0.789691160762271,1.138372988544686,0.9302074588368718,0.702309773971405,0.2990645786407305,0.72,0.875,0.0625,0.0,0.0,0.0,0.0,0.84375
actuator_0p6,harsh,a10_v4_safe,32,1.0,1.0,1.0,0.3188683443061252,0.2989601529619167,0.5533113938843969,0.6188171163946202,0.32671875,0.7430635704588324,1.3588985363505777,1.0972139260223446,0.7984950970830231,0.2315500304558256,0.6479898305798498,1.0,1.0,0.0,0.0,0.0,0.0,1.0
actuator_0p6,manageable,a10_v4_safe,224,1.0,0.21875,0.1071428571428571,0.0043084519361532,0.0,0.0388744836729883,0.0605074504424204,0.0251934523809523,0.8208921093531449,1.094785800628294,0.8718217669466162,0.642111721289201,0.2740244169288023,0.84,0.1875,0.0133928571428571,0.0,0.0,0.0,0.0,0.1071428571428571
actuator_0p6,out_of_sample,a10_v4_safe,160,1.0,0.64375,0.55625,0.0064877052503,4.056335476889582e-05,0.0445494711069121,0.060030209986992,0.0674635416666666,0.7966145439297496,1.1252310380999984,0.911111269187461,0.7250800868655561,0.284918621685383,0.7114541800477743,0.55,0.0375,0.0,0.0,0.0,0.0,0.55625
actuator_0p8,frontier,a10_v4_safe,32,1.0,0.40625,0.0,0.0007018508216859,0.0,0.0050313354471911,0.006080698500254,0.041328125,0.8676006676186616,1.046094410239485,0.8717294594608318,0.6819894448378725,0.2817255339568273,0.72,0.40625,0.0,0.0,0.0,0.0,0.0,0.0
actuator_0p8,harsh,a10_v4_safe,32,1.0,1.0,0.40625,0.16184438503497,0.1569583973795433,0.3262238904716951,0.3849479194381974,0.236015625,0.8048559678602524,1.262130207976852,1.04884656722372,0.7898248363146892,0.2088352954387699,0.580625624030123,1.0,0.96875,0.0,0.0,0.0,0.0,0.40625
actuator_0p8,manageable,a10_v4_safe,224,1.0,0.0848214285714285,0.0,0.0005016336787296,0.0,0.0005016336787296,0.0089991582468983,0.0101822916666666,0.8956111338623316,1.028617113376057,0.8407422849375571,0.6360177653959183,0.2664745825369304,0.84,0.0848214285714285,0.0,0.0,0.0,0.0,0.0,0.0
actuator_0p8,out_of_sample,a10_v4_safe,160,1.0,0.2,0.00625,0.0012076486363915,0.0,0.0115158367206888,0.0189181518997563,0.0219270833333333,0.8722796696545411,1.0564596212958297,0.8866954137996172,0.723392400570033,0.2612576818100665,0.679333795575568,0.2,0.00625,0.0,0.0,0.0,0.0,0.00625
baseline,frontier,a10_v4_safe,32,1.0,0.34375,0.0,0.0003599314940523,0.0,0.0024573160984534,0.0030981447457881,0.034609375,0.9317090578441076,1.034859762332236,0.8789331347875103,0.6899749603183197,0.2484343787095941,0.72,0.34375,0.0,0.0,0.0,0.0,0.0,0.0
baseline,harsh,a10_v4_safe,32,1.0,0.96875,0.0,0.0613245770813242,0.0505826129114065,0.1624539577061312,0.1890894315926242,0.1644531249999999,0.8752287689240529,1.2092326730747134,1.023457498392677,0.7849725804520572,0.1915299374049567,0.5398935961379202,0.96875,0.875,0.0,0.0,0.0,0.0,0.0
